Player,Kylar Alice,Shadoww,Goddess,Drip God,Cheeseface,baka,AquarianNemesis,Rite,CL3M,Kircix,Dummy,baileyyyy,geometryshanes,Zechten,Trankwillity,ShadowFish,xUzBrodie-,Quickshot,Claxy,cayzdaddy,Phy,Panda,Peace,T-Reqt,Lichgo,YaKnow,Rygunduz,fantee720,Purpzz,jason,Rubbish,Dough?,prodbyanh,Mike,swifty pete,Astronaut3005,Batman,AbruptPuppet,NexRE55108,SleepyTactics,V1TAL,Midnight,Rebonk,enimateK,Skits,Stadt,Pigron,Ryu,PokeFanatics,JMC_,bones,Elbox,Deception,mayoplays,Mark_ov,Joseph,aLphaaa,damo1968712,Str1k3r,StupidDash,garbo,xdlolxd,Surya,The_Pumpkin_8tr,Rhodes,Kenshinssj,Luraph,R3ALsai115,NDS Fallen,Erqia,Nexerst,Festive,DreDaKing,VxAPx,Toilet,JWC_ACE,azrael,Medi_Ev1L,Mpward55s,toro,M1N1_YASH,Eldog,Toxic_Lance_Main,adenele11,Candyman,ShiBroke,Siquiari,BreezierComet31,SUMMINJST1,Kye,noahnaut,AJAmzz,MidnightLynx,Smash,Very Very Fast Goat,NoMantra,Amanda you are not alone,Khanage,TXC-jayxx,Xoyul,LORDROMAN74,Unco,Oncemoretae,GDBlaze,HelpfulPlow73,Kavithan34655,Knifey,Xirow-,yunoza v2,Flobby Robbo,priahy,Mansha,yes,Akcleggs,MateyBug,Hexdi,J HaPPeNz,mahalobaby,fatlonzo,ShaKing,ElMuchacho,Noble (3),Myst,PurpleDemon,Mouse,tkkin22,tomada124,cheesy,ThePittCrazy16,Chuck dibaob,backupkso,theimortalbr,Ezco25,mclov3n,El'Dracque,XtraSmurf07,Bomb,Layser,Pinky,Buba (2),ntsumy52345,Lemon_Beans,Yam,ASAS,Kin,sansdriveblox,Wolfeh,AL | *^Foxxy^*,Kodesta2005,Prince,IK0NIC KALM,Magzoub,JonnyHDTV,tommysama,chasab3,Art?VP,ArcaneXXL,N.Ø.V.A,Tech_Mazter,cammang00,MICHEALDAKING,Hushh_Shadows,Parzival,brawlhalla (2),Zacstrom,Donieb13,Foxblade22,Iamkalex,buou,Rj Dude,Lagostinn_-,BlackNutSack9,CaseSaffron1667,Road to platinum5,Epic (2),CL4PTP35,Wunulla,FlashX,Ackie,Strifey,Thotfullness,DeWitt,L3GEND05BEAST,gg (5),PixelatedPortal,Goliakito,Meng-Kun,CorinWrong,Renzodragon2,Ronin (2),Miniharley00,OMY20,vely,x2jod_,sayallah,Panda (2),Drownie,Nyctoowl
Top 32 made,12,5,7,5,3,7,8,8,5,8,2,8,5,6,6,6,4,6,2,4,1,2,3,4,5,3,1,1,1,2,1,1,4,1,1,1,1,1,0,1,1,1,1,1,1,0,5,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Top 8 made,9,2,3,5,2,5,6,6,0,3,1,3,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Top 3 made,8,1,1,3,0,0,1,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Top 2 made,8,1,0,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Top 1 made,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Points,299.8872927,201.8286246,177.078276,175.0691856,158.7128966,152.1950022,137.3488949,105.7763289,102.3585542,100.9931041,100.3981205,99.2459686,94.59038511,76.44295039,72.76535287,72.24553873,70.4779207,68.61662185,64.62220918,64.35146747,55.06414277,53.11415987,51.19626122,45.86174449,44.44365982,43.48034158,41.90638768,40.68191201,40.49075007,40.17611163,36.7970206,36.37388012,35.28527053,34.40556004,33.27464129,33.04318077,32.80337518,32.4318926,32.23254791,31.55750978,31.17522246,31.11542995,31.03007235,30.13315788,27.65699404,27.60987182,27.44331473,27.13473801,27.12331142,26.81692309,26.03951536,25.57437573,23.00364159,22.86670106,21.90526783,20.51973013,20.19547661,20.08651748,19.7148602,18.94668991,18.77550562,18.45671553,17.31178686,17.17479452,16.86749029,15.38100117,14.90549882,14.79860899,14.78625457,14.6981328,14.6519889,14.57556702,14.31914373,14.00604479,13.85935346,13.85387517,13.59011691,13.5268538,13.3598858,13.33725285,13.30432506,13.28941439,13.28410177,13.14500186,13.05602046,12.94519899,12.8648879,12.86011292,12.8027944,12.48373794,12.43517259,12.38321507,12.3826086,12.34243558,12.22490989,12.13914692,11.9669559,11.75754913,11.65651637,11.62037592,11.56017461,11.49573474,11.48589003,11.22416715,11.10414375,11.06999681,11.0623025,11.06035393,11.03754085,10.92295435,10.91757452,10.8631869,10.81216528,10.7727909,10.70481829,10.68924087,10.67184791,10.65614492,10.56218964,10.35458338,10.25709405,10.16205123,10.11833543,10.01060369,9.883377312,9.707789078,9.401321054,9.162547774,9.136081283,9.028729319,9.01176107,8.991148089,8.819945125,8.746447757,8.724929132,8.708121311,8.590543788,8.544367032,8.473494389,8.42531286,8.389316802,8.349223658,8.341673194,8.259505408,8.2440837,8.15965964,8.126662154,7.971442845,7.95854391,7.956559539,7.949154486,7.943911616,7.932198105,7.901513321,7.852606062,7.827028494,7.813812188,7.719356368,7.609816223,7.577479231,7.406126173,7.311688157,7.264514594,7.217310497,7.216809583,7.022932957,7.018248469,7.01668444,6.986111536,6.968676521,6.806289627,6.796342412,6.735210425,6.732702624,6.731760149,6.720036786,6.708195447,6.679331302,6.675870267,6.652893331,6.539327397,6.532342406,6.388935407,6.350512162,6.210167452,6.195695577,6.133791511,6.127172145,6.124953521,6.050162893,6.047351587,6.047351587,6.031384493,6.01809824,5.867820592,5.791164608,5.710548053,5.601327808
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
