Player,baileyyyy,Drip God,Goddess,Shadoww,Rite,Kylar Alice,baka,Lust,ShadowFish,CL3M,Skits,YaKnow,Claxy,Cheeseface,tommysama,Zechten,Smash,TiltedTaco,Kircix,V1TAL,Allora,prodbyanh,cayzdaddy,Rhodes,Mike,Rebonk,Batman,ItzSantosh,KunningKoala,enimateK,Dummy,Peace,Shifu,Toxic_Lance_Main,Medi_Ev1L,Dooblakek,fatlonzo,Trankwillity,AquarianNemesis,Beerus,Quickshot,T-Reqt,fantee720,jason,geometryshanes,Lichgo,Very Very Fast Goat,Midnight,lezly,swifty pete,Purpzz,Elbox,AbruptPuppet,Dough?,azrael,riv,xUzBrodie-,Erqia,x2jod_,SUCH4TRYH4RD3R-,XtraSmurf07,Prince,El'Dracque,WILS0,CHAN0,Bread,DON,Phy,KnGNaff,Chef Goldblum,814221655,Hoomy,Fortune,Mark_ov,nick_guez12,JWC_ACE,Zinic,toro,Envy,CorinWrong,Meng-Kun,John,Mouse,Panda,Str1k3r,Rajesh,churmokopono,EzB4mboo,Zer0Mark,SK1LLSTR3AK,IL BASTARDO,mclov3n,Aramusha6034,Kailunatuna,MethJr,YOLOxSWEGx420,Pitohui__x,LUISCA,(               ),Iuculia,StupidDash,hazza,Stadt,SleepyTactics,kaecien,zRABIIT,sadboybent,Xxnyc Buu,L0m,Alchemy,brendanhh,Wunulla,Akcleggs,Mokai,Dxquan_xi,AGENTNUKFUT,Dr RedNed06,ximinii,Knifey,GDBlaze,energetic099jump,PurpleDemon,Dezpair-_-Stiffy,Dezpair-_-Hersh,Toumany_75,Rubbish,garbo,EpicWonton,JuniorSaturn923,GesuNeroo,DressMold79,NexRE55108,Beegy_middleton,Bomb,blackwolf_eg,Ebrahim_Mohamed,PokeFanatics,ShiBroke,PootsOfficial,Milkyxd,Kosmic,brotato chip 79,Lauden viisions,Zacstrom,mayoplays,Festive,DeWitt,LILSHarpe310,snrGhost767,Eldog,ElMuchacho,Pokepig96,xmanthrealprohere,Veblosskogrst,Morgsrandall,CoZmic_LACHY,ErasableTigga,ErasableMonkey,Cleggy,Wolfeh,Rj Dude,Mpward55s,Slinkz
Top 32 made,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Top 8 made,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Top 3 made,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Top 2 made,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Top 1 made,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Points,223.0349484,223.0349484,169.1569556,169.1569556,166.857349,166.857349,132.2466362,132.2466362,107.895798,107.895798,99.85876449,99.85876449,98.79187576,98.79187576,95.64465696,95.64465696,78.52140902,78.52140902,73.36554103,64.29969315,61.15426177,61.15426177,59.80174004,53.84369826,53.84369826,52.60756608,52.60756608,47.30980112,47.30980112,46.95340256,46.91870336,46.09392782,46.09392782,43.19462743,43.19462743,41.08337825,40.55737247,40.55737247,40.53110422,37.93939019,37.93939019,37.72746429,35.84154419,35.17642557,35.17642557,35.04093306,35.04093306,34.4408724,34.4408724,33.62171587,33.62171587,33.28937782,33.28937782,32.83443681,32.36077516,32.36077516,31.28493257,30.91139295,30.91139295,30.79051619,30.79051619,30.40062647,30.40062647,29.9456521,29.9456521,29.88347784,29.7557189,29.7557189,29.36076329,29.36076329,28.95175792,28.95175792,28.56882846,28.56882846,28.52213716,28.52213716,26.8546708,26.8546708,26.49797015,26.41861648,26.41861648,25.74878761,25.74878761,25.69130079,25.66950611,25.12328689,25.12328689,24.40660907,24.40660907,24.33064947,24.33064947,24.15059792,23.86429999,23.86429999,23.21631491,22.83194574,22.83194574,22.40263627,22.40263627,22.31698637,22.31698637,20.45543241,18.17052088,17.04278704,17.04278704,15.61457697,15.61457697,13.66892578,13.52920619,13.52920619,13.36493186,13.36493186,13.29971999,12.95176421,12.71161721,12.60895572,12.60895572,12.59504049,12.39491771,12.39491771,12.2342326,12.2342326,11.90645587,11.90645587,11.64298573,11.57077486,11.57077486,11.15773309,11.15773309,10.95575034,10.95575034,10.85455072,10.75659737,10.75659737,10.62780514,10.62780514,10.17203807,9.997105436,9.997105436,9.885802373,9.885802373,9.817999828,9.817999828,9.633779,9.633779,9.554343948,9.554343948,9.305211862,9.305211862,9.069637529,9.069637529,8.480657953,8.480657953,8.432202946,8.28567781,8.28567781,8.017960572,8.017960572,7.951657862,7.951657862,7.750063667,7.750063667,7.279819073
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
