Player,Acno,simpLe,hysen,Blew,Blaze,TheNinja729,Macheeeete,Link,M for Mini,zyder,Swata,720polyshot,Addymestic,PreciesMaurice,Pavelski,Fozey,The Floater,VipR3,Neeze,Spyder,ErTito...,Goosey,Glassy,cohen,Aerial,Zapapy,hermisen,Tinix,Derk,Aggz0,Introvert Taher,Diakou,Dobrein,wave god,FryDasOle,TM,DNR,2D,ImP PAIKOr!?,KiXe,Jaku,Ullut,Hount,Cake,Flamethrower,Cowfish,MagiMind,Sgrape,Solarson,Hollywood Chillin,Michael Smith,Chi,Dennis,Snowb4ll,VeTox,E7 | Shirosaki,Feestpietfabio,Zero,GodlyQ_,Vocal,SNK | Spyrox,Azursep,Rubito,Jokyy,Motiburgeri,Galax,Fyerz,SummerSide,Scyotic,Gabbe,Sebbe,Hazer_Delta,Cedero,Duugu_,Iso_nbyo,Mozze,Alfie,Fizz,XXT,Vortex.,Yahullahop,FrostedKermit,Mayuri,tobi,Nazzy,PhoenX,Andrei,Narcis12,Unstoppable-187,Linox,CrossyChainsaw,RONIN,L!ON,Casuu,Alexis,Shadra - Baguette senpai,Pugtato,Wizj0cked_,TheYeGuy,Star / Hiora,BurgerkingCandycrush,zKoalaEU,nexo,Landfish,Mert,ItzSolus-,Limbo,Ryuu_XI,SixPaths,pain,Alterz,Bartu,yuukii,Callum4thel0lz,ChristyRupeToT,xKuBix,Giox,Blikstar,ViolInKK,mepmepy,Im Boosted,FernandoM,Rakushain,VibeZz,Jaiyce,Yann_X,Izmonster,TW-Lorenzo,Mikswagger901,Lite,Orewek,alex.,twygz,Goldie,MadMax,Vowkz,Satoko,Dez,Foxy_the_nix_eu,TheMutantCat,Undiagonsed Dyslexia,Rosé,crakedbeast,BOOMTABBi,Sooda,skyroow,She made me blush O_O,Aktyanav,Voicon,Niqqle,DarkPvPYT,NaPiii_,Sharok,v MrVeNoM v,Tazamemaru,Tzimon,danyboss00,Isma,TUC_Adrenalin,ishett,not today,KaanB,Kelpy G,Realshady,Mais,Salty Kame (Turtle),Ryô,Plume,zBlackneight,Luxor_BH,MrCoufil,Yami,RMB_034
Top 32 made,9,19,18,24,16,17,21,8,25,8,2,6,41,10,12,18,3,29,17,13,7,17,7,5,18,4,32,6,1,19,2,33,30,6,5,5,2,19,1,5,2,1,1,37,13,0,0,0,3,2,0,2,0,6,3,1,0,15,0,5,0,5,1,0,13,0,0,0,0,1,5,0,22,0,0,0,1,10,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,0,3,0,21,0
Top 8 made,6,15,8,17,6,6,11,2,10,1,1,1,21,1,4,1,0,15,8,1,1,1,0,0,4,0,9,1,0,10,0,9,13,0,1,0,0,2,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0
Top 3 made,5,9,3,12,1,2,6,0,5,0,0,0,9,0,2,0,0,6,2,0,1,0,0,0,0,0,1,0,0,2,0,4,7,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Top 2 made,5,4,3,7,0,0,4,0,5,0,0,0,6,0,2,0,0,3,2,0,1,0,0,0,0,0,0,0,0,2,0,1,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Top 1 made,3,0,1,5,0,0,3,0,2,0,0,0,3,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Points,298.8047313,162.0144547,161.6916729,155.7209442,155.5718267,152.2964781,144.3617599,125.2393765,125.1963471,125.1035115,118.1962117,116.1291056,100.5871451,95.72661931,88.1289707,84.49677319,84.00192413,79.39154308,77.40492298,66.76850205,65.74306397,53.95348649,52.48230221,50.68884391,50.53381148,50.29937879,49.48470624,49.14031247,47.10529472,45.56806579,45.03633127,44.18379458,43.53761636,40.85809312,40.20769012,39.98263909,39.94330618,37.77443933,36.71243554,34.28910782,32.31853987,32.12811454,32.12184913,28.9283644,28.51619296,27.85889626,26.97371117,26.25067157,25.89293935,25.29328211,24.13726197,22.73485209,22.56725083,22.42925341,21.43064284,21.22547544,20.52118271,19.97172701,19.5364125,19.45392343,19.29182548,18.85230337,18.45069761,18.25148662,17.83306492,17.66194583,17.25814996,17.13465323,17.06504693,16.98829351,16.91108623,16.69915419,16.40958957,16.37918599,16.36432897,16.0634121,15.38507303,15.17903734,15.06523833,14.07960059,13.9796215,13.95900299,13.93270961,13.74173732,13.58562922,13.47001242,12.99063367,12.88216217,12.60880537,12.50986579,12.50895399,12.15819237,11.85094919,11.6193712,11.50202055,11.46385565,11.4432898,11.30856631,11.21179509,10.71672474,10.67534388,10.59457159,10.45467565,10.45346654,10.2950394,10.11097414,9.742787635,9.706219297,9.570290563,9.521289101,9.504102601,9.476197049,9.463672054,9.392021492,9.379580355,9.28232935,9.065017885,9.06039825,8.865346125,8.825817965,8.716796804,8.668498694,8.626625333,8.62626207,8.421851595,8.397480832,8.29805906,8.277768399,8.153338419,8.104305664,8.024442485,7.897170688,7.855764952,7.770065995,7.768339068,7.744090986,7.71648841,7.641943024,7.550362772,7.547917458,7.271655404,7.223247673,7.191881825,7.106028775,7.072807646,7.039900999,7.022799884,6.929241624,6.927549093,6.924110134,6.898330788,6.852037171,6.787596235,6.751076991,6.608777297,6.539352019,6.422095919,6.381929287,6.274528049,6.254400815,6.23174628,6.075935342,6.043751178,5.92294002,5.890557356,5.850473246,5.847170423,5.829780605,5.734940844,5.733568207,5.720456561,5.710561344,5.671726285
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
