Player,Acno,Blaze,Link,simpLe,Macheeeete,Fozey,VipR3,hysen,Aggz0,Addymestic,Blew,Aerial,hermisen,Cake,Zapapy,TM,TheNinja729,Pavelski,Stikieuh,Daz,zyder,Neeze,Diakou,720polyshot,ErTito...,M for Mini,Goosey,Swata,Luc,Introvert Taher,PreciesMaurice,VeTox,Cowfish,Vortex.,GodlyQ_,DNR,Solarson,Fizz,nexo,Rakushain,danyboss00,Iso_nbyo,ImP PAIKOr!?,Tinix,FryDasOle,OVM,QS.,dmvinke,tobi,SNK | Spyrox,XXT,Sebbe,ishett,SJP,cohen,KiXe,Derpyfish007,vlekje513,Chrismaster,Ryô,2D,Snowb4ll,SenseiDoge,TheYeGuy,ConDenzed,Zero,Blurrinq,VibeZz,LollyLipZz,Fissh,Godfather,SixPaths,SummerSide,Ted.,Jaku,Kresuu,Cedero,wave god,Declan,Spacix,Niqqle,Mozze,Sgrape,Hazer_Koko,Hazer_Delta,Marie,PizzaDelivery,Derk,Azriel,29Hz RayDave,Soda,Star / Hiora,Sooda,Lite,Nazzy,OrsoGrasso,FrostedKermit,CraZyB,Fort,Casuu,Jokyy,xShinju,lord-(OwO)-pop,Hollywood Chillin,Ino | CleXeD ツ,ZiB,Lil'Fox <3,iiizeusziii,Mert,yuukii,mepmepy,ScRp?!,twygz,Michael Smith,icehall,Dennis,WBA,arielpr0,Glassy,Izmonster,Maden,Civrei79,Jaiyce,Inotorious,Yami,Gabbe,RONIN,romanraa,Alexis,Starla,Motiburgeri,koro sensei,Rosé,Chi,The Floater,Landfish,[H]ades,Keital,Sponge,Skwid,Delirium,Ext,zBlackneight,Breakour,MicroKurd,SpiritWolf,jj0zak,Unstoppable-187,Zimbabwaan,Feestpietfabio,omns,KingJelly,Duugu_,ツヴェルジェンネスト,ViniPan,Yann_X,Trabje,Azursep,Viski,Aksu,Phytz,Ikkuh,Ryzen,Exzetro,Realshady,adi,SwYire,Hount,Callum4thel0lz,Vocal,AlyFeon.,Sandali,Zzoppa,Lussei,HarryPeter,FernandoM,Bartu,Duplox,Daw3ty,REALmisha,Shadra - Baguette senpai,CrossyChainsaw,Jermie,xThe_Kid_187,NoHandMitSxuf,vAzumi--,NSaabo,ItzSolus-,ClxssicTM (2),TORSin,MiniKMarty,GamBorler,HNZ,Endre,YaMan!!,Spyder,Cozy,vTamamo--,Rafa,Rubito,vintah
Top 32 made,11,18,9,20,18,20,33,15,23,35,24,27,30,37,14,13,21,17,22,22,12,18,39,6,10,20,25,10,10,8,11,7,8,9,2,7,9,15,2,8,6,2,3,5,4,1,22,9,1,1,1,14,18,7,6,7,3,1,1,2,12,17,1,1,1,20,4,2,1,1,2,1,2,2,5,1,21,2,1,9,1,1,0,0,0,5,1,1,1,1,1,4,0,0,1,0,1,1,9,13,0,0,0,5,7,0,8,6,2,0,0,1,0,0,6,1,0,0,6,1,0,0,0,0,20,11,6,0,0,0,4,3,3,1,4,1,0,0,0,1,1,0,0,0,0,21,0,0,0,0,0,0,0,0,0,1,5,6,0,0,0,1,0,0,1,0,0,0,0,10,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,3,3
Top 8 made,10,13,2,18,9,7,24,8,18,31,21,20,18,32,6,4,9,7,13,12,5,7,21,1,1,12,15,1,3,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,1,0,10,2,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1
Top 3 made,8,8,2,15,3,2,14,3,10,14,15,8,7,15,2,1,1,0,0,0,0,2,5,0,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Top 2 made,7,8,2,14,0,0,9,0,8,12,13,3,2,12,2,1,1,0,0,0,0,1,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Top 1 made,4,4,0,8,0,0,4,0,3,7,8,1,0,7,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Points,226.3083781,226.3083781,174.9978784,174.9978784,149.2050817,149.2050817,143.1654242,136.1357523,104.3554956,104.3554956,99.77590399,93.05291398,93.05291398,92.76781141,89.81369578,89.81369578,86.76434973,84.78996227,82.27362716,82.27362716,80.10357649,78.11476757,74.56832166,71.58258884,68.56855646,68.0198603,68.0198603,67.77913747,67.34350382,62.57518163,62.57518163,61.22360704,61.22360704,60.00981735,52.3562129,51.6835717,50.22316595,48.27420692,47.0178233,47.0178233,45.96978474,45.96978474,39.38474816,39.38474816,38.30719615,38.30719615,37.66898981,36.63776681,36.41675871,35.74831873,35.62826417,35.09499031,35.09499031,34.85349258,34.30293205,34.17202181,34.17202181,33.96602124,33.96602124,33.14741047,32.91503062,32.77042855,31.74246914,31.33925098,31.33925098,30.28926851,29.51571629,29.45545538,29.45545538,29.2010114,29.1177105,28.98068885,28.98068885,28.68200029,27.8302548,27.55918378,25.71545484,24.58878497,23.99779716,23.68085185,23.68085185,22.44875445,22.08721589,21.94043991,21.94043991,21.84265305,21.37242478,21.37242478,21.34625374,21.34625374,20.81057083,20.81057083,20.47986507,19.64561771,19.24464148,18.92913189,17.78361801,17.78361801,16.47179752,16.47179752,16.14210998,15.46214639,15.46214639,15.1887149,15.1887149,14.91782254,14.67489103,14.67489103,14.58328045,14.40662342,14.40662342,14.15290964,14.06831518,13.88324889,13.63796045,13.48270289,13.48270289,13.16360206,12.69100314,12.4962983,12.42369255,12.40869614,12.19440119,12.19440119,12.17477589,12.17477589,12.10494419,11.86210065,11.86210065,11.80967638,11.80967638,11.70866515,11.70866515,11.60179763,11.49852718,11.49852718,11.48732327,11.47533833,11.45558385,11.41652855,11.37065284,11.20791074,11.18155766,11.14138918,10.92205223,10.90567835,10.80167121,10.56616631,10.56616631,10.55575365,10.55575365,10.46164319,10.32848272,10.21189981,10.21189981,10.1753603,10.1267424,10.1267424,10.07522688,10.07522688,10.02614566,9.923199747,9.707281942,9.679031224,9.678636909,9.296001805,9.251594441,9.251594441,8.943975685,8.85705551,8.814111283,8.76272351,8.76272351,8.749766065,8.749766065,8.732377683,8.592352135,8.592352135,8.530755214,8.530755214,8.091932216,8.056857587,8.056857587,8.017664055,8.017664055,7.93657884,7.93657884,7.834351128,7.834351128,7.785571393,7.782347835,7.645525287,7.633731647,7.633731647,7.578132457,7.564991964,7.477263185,7.477263185,7.439057906,7.439057906,7.389175796
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brawlhalla Spring Championship 2020 EU 2v2 - 4/19/2020 - 6 days ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
