Player,Sandstorm,Cosolix,Cody Travis,Pugsyxd,wrenchd,Ethan,Santy,STING RAY,Boomie,Remmy,Impala,Phazon,ithrowow,Blaizzy,T1FF4NY,STTP Wilson,Crockie,Pier,noeL,Khui,Tasty,Blood Diamond,wbz,DoubleDime,Kyzer,Simba,Zexis,Isidroo,Contrast,Lil Capped,Ming,hardymj,Winged_Shell,Serenade,Avon,Megdyy,Kevstah,Snowy,Magma,Grizzy,Shoe,Synco,Sand_Wic,Matt,Killua,daze,JakeyBoyCoffman,WHITETOWN,Ryo,Baboute,Ultra,Luverz,iLLu,Ghost,Zacoi,Georgegd18,Zinquer,ImLlama,SnipedSox,nick,chuyqwerty,Jolly,Super Ukodo,Buu,Espejo,Silent_cannibal4 (2),bazzball,Manswer,Mother Russia,Matt (2),Pawapow,Achilles,gabe.,EatHam,Zabz,Casey,FeebleStar,hazN,AdamBoom TWD,ISFL | Beast,Stimpy,Fishy,HVLC,Parallel,AcidicAlien,Van Thurl,Super521,Snow,CreamyDuck,exo,A_Dre,Dakauri,Shadow0q12,MrCrspyy,Mac!,TelekineticCheez,ZEEKO,Cobwhy,Mommiimode,Walshy,elaG,Loki,Son (2),Stevenator,Raiden_Rippley,Burrito Voorhees,XimpleVengence,Cloud,Remus,adamkool178,Echo,swiff,Not Deion,High,Dew (2),Blackout,Bread (2),Tenshu,D3adShots11,Techables,Bous,Soren,M0RQU3,Seb.,Velo_citY | Brian,Glue,Touch,poot,WorstFps,MentalMinotaur,Esssay,bacon_,Righteousness,Tobi (2),LegoManHair,minivanguard,Starno,MendoTelos,I_AM_DIRT,RealEli,c0nn0r_88,iOhennyOi,Vooper,as4p,TaroSLush,Law47,Slickck,TyaTheOlive,TrackNation,Cam (2),HD SONIC999,Tendo,HD darklight,Avictd_,Stqnky,forever_jealous,Toxic_Language,juanralvarezt,SusanooDeath,Retro,sanicdotexe321YT,Egocentrismic,Voltsaber,Red_Akashi,gavinleath,Parka,DjPlays,MisterPizarro,zWitchblades,JDiggity22,Jaiden,Luna,RyXin,Cornbread,Trigga_fn,A11enTennySun,Spooky,turkey300,Lightskinuchiha,MidNite,Camyce,Jams,Mr-Cat23,BbyShibe,KF,Barlaxy,OGmaid,KDUB133231,Ron Williams,ThatOneDingo
Top 32 made,25,29,18,21,39,22,17,7,44,5,2,32,37,1,25,31,25,9,46,14,6,35,3,23,2,19,7,33,4,35,2,2,5,2,1,1,1,1,7,4,1,2,1,4,1,5,0,8,1,8,0,0,9,0,2,1,1,0,0,0,3,0,0,0,3,0,1,0,17,0,0,2,2,2,0,1,3,7,0,0,10,0,0,9,0,3,0,0,0,1,1,0,0,0,3,0,20,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,1,0,7,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Top 8 made,22,15,9,8,23,11,2,1,36,1,1,14,10,1,4,15,4,0,34,2,0,6,0,1,0,6,0,14,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Top 3 made,18,5,2,2,11,5,0,1,22,0,0,4,3,0,2,6,1,0,18,0,0,0,0,1,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Top 2 made,16,1,2,2,8,3,0,1,14,0,0,1,3,0,2,4,1,0,13,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Top 1 made,12,1,0,1,5,0,0,0,8,0,0,0,1,0,1,3,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Points,227.954772,196.313214,195.4667632,181.9294434,149.8447056,148.5071388,127.2741337,119.9103938,115.1456205,108.0102864,107.9199131,97.77613189,93.83524669,90.07382034,88.6670318,88.28593221,86.64266309,82.51303496,79.24073304,78.46211265,75.69239631,74.95145704,69.4188562,69.01045828,59.94112611,59.09871837,57.47010991,50.17550918,49.36165071,48.28322759,45.92545446,45.22380013,45.08040345,42.48776132,42.24558698,39.79560622,37.9677598,35.40078844,35.39783287,33.78700468,33.00961962,31.57573066,30.56065304,30.25396286,30.16020153,29.6815585,26.68912098,26.32830781,23.9555285,23.67358172,22.24456368,21.9982602,21.69280757,21.62722912,21.28549789,20.95005824,19.98744594,19.96376867,19.04336246,18.61341309,18.44341723,18.14430588,17.12324752,16.52302355,16.38546683,16.17850766,16.05301503,15.40454282,14.76192742,14.74475947,14.21810423,14.14511508,13.62479521,13.3290926,12.71796294,12.69859652,12.2085362,12.1524351,11.90181536,11.85437988,11.83408958,11.80312379,11.57635257,11.57054169,11.30071315,11.08275466,10.97164381,10.87282687,10.854415,10.7725151,10.61450692,10.56406868,10.50409522,10.43963486,10.403947,10.30481568,10.17763525,9.928484907,9.875191852,9.873901003,9.868451599,9.725837551,9.652844342,9.453007984,9.395564444,9.330015404,9.31059019,9.213497627,9.197332093,9.159323442,9.000487644,8.95126451,8.913276829,8.904726675,8.825734392,8.803570597,8.611809617,8.595100794,8.577807852,8.563463854,8.514247825,8.509906779,8.377640569,8.292554264,8.27462022,8.273524916,8.25557339,8.201492051,8.137879435,8.132151716,7.981148116,7.97069533,7.905426876,7.872434902,7.864195476,7.81038844,7.755975161,7.744503478,7.619258621,7.57786111,7.474771091,7.441011261,7.412622626,7.35358665,7.346008812,7.302514029,7.264623398,7.249872532,7.074658421,7.070891591,6.957156159,6.935852288,6.930718334,6.867847056,6.85277699,6.824696222,6.771999701,6.769667038,6.766816561,6.678842464,6.62412422,6.548094273,6.498094273,6.426950162,6.418889225,6.392518489,6.331429052,6.289949557,6.242320392,6.236152399,6.216791664,6.208480208,6.17864886,6.176481069,6.118225099,6.10207405,6.060156238,6.037739885,6.023820049,5.986069061,5.899180736,5.875363683,5.844418009,5.844418009,5.822485233,5.816181353,5.805799349,5.783417776,5.766791664,5.726842069
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brawlhalla Spring Championship 2020 NA 1v1 - 4/25/2020 - 0 days ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
