Player,Sandstorm,Boomie,Cody Travis,Simba,Santy,Phazon,noeL,Ethan,Pugsyxd,daze,Lil Capped,ithrowow,STTP Wilson,T1FF4NY,bacon_,Tasty,hardymj,Crockie,McSlammy,nick,Blaizzy,Pier,Winged_Shell,wrenchd,Cosolix,Zexis,DoubleDime,Remmy,Casey,Experience,Kyzer,Blood Diamond,Isidroo,Khui,Matt,Parallel,STING RAY,Contrast,Sand_Wic,killerr168,HyperHero,Midget,Impala,Littledawg,Hostile,Serenade,Georgegd18,Hanabi,ZEEKO,Loki,Tobi (2),Duke,Ryo,Mac!,ImLlama,wbz,Crag,Snowflake,DuckP,Van Thurl,Zacoi,wodahS,MisT,Nox,Atrophius,gabe.,Cole,Snowy,iLLu,exo,hazN,DuBz,Walshy,SillyGobi,Jolly,Magma,Stevenator,DiamondGravity,Velo_citY | Brian,Ming,Zabz,Killua,AcidicAlien,Sight,JuicyDiaper,Toxic_Language,bazzball,Shoe,Kazpery,Techables,Tendo,Matt (2),Insanik,xRanger,JakeyBoyCoffman,UNSTOPABLExGOD,Shadow0q12,AHeroOverNight,RexDanKnight,zucchini fettuccini,Super Ukodo,TheGreatUddini,Hawk (2),Shwerpy,Super521,Yeakoo,Mega Man (KL),Snowstorm,RyXin,danstokes100,KingFish,viigl,intel,Mars,Kaggmaster,Jay (2),buffsee (fake_anas),Anas,Karmapples,Luffy (2),Vegetaflex,FeebleStar,choppA,filth,Zinquer,Stig,chuyqwerty,BagOfOreos,Fred Fredburger,jellyfish,Weaver,GrillSznSwish,GrillSznRue,Nikyle,AORX,paris,HeyItsSoar,Stqnky,Pawapow,Slime,pinch crab,Burnt Pan (2),compute,Blueguys,Cyclist,iOhennyOi,Heckray,Atied,Blackout,swiff,XimpleVengence,Chancey-_-,Cobwhy,speedy,Egocentrismic,AllaGator_BA,NotDaiveon,GlentheGoat,SenpaiRico,MorganTan03,Fishy,xtc,24 Mahrama,zelchy,Avon,Xrb,Cloudyskies-,Revolaying,Unreplace (2),DBZkingbuck1000,Cloud,HD Fakey,HaNe,Mommiimode,NaiveKnives,gayomi,Glue,Linguini,Silverarrow360,Jking7,uksspy,uksmegalodon,MidNite,Jinxed,KillCookiee,HarryDeCat,Law47,Blurr Kibbles,Megdyy,Epic,Xynthix,Grizzy,irresponsiblemom,DerpyDood,Spoonceman,Snow Miser,chinny,Kevro,dridrifam,Lixidy,F4ntasy,IPingU202,Snt_fatrj,PheonixSkittles,TheChaseBoss
Top 32 made,21,37,24,24,20,33,40,21,25,12,32,32,25,24,20,4,5,28,9,2,8,12,18,33,27,7,21,7,8,4,4,31,30,16,8,18,4,7,8,2,16,23,2,1,2,5,3,0,23,2,1,1,8,5,1,6,2,5,5,4,6,3,2,1,26,3,1,3,13,12,10,1,1,21,1,8,24,3,16,2,0,4,8,2,7,1,3,4,1,1,0,1,0,0,4,0,0,0,0,4,0,2,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,5,1,3,2,0,0,12,10,0,0,0,0,0,0,0,0,5,0,1,7,11,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Top 8 made,20,35,22,13,11,30,32,16,11,2,25,22,14,17,6,1,1,4,2,1,1,3,3,12,16,0,1,5,1,0,0,16,24,4,0,1,0,0,0,0,3,5,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,11,0,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Top 3 made,16,30,13,5,3,19,9,3,3,1,12,5,3,2,0,0,0,1,0,0,0,0,0,2,4,0,0,1,0,0,0,4,13,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Top 2 made,14,28,8,2,2,14,4,2,0,0,9,5,1,2,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Top 1 made,12,23,2,0,0,8,0,0,0,0,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Points,222.2846739,222.2846739,175.6754444,137.7951328,137.7951328,123.1402845,117.1005535,117.1005535,115.3886439,115.3886439,111.2939872,111.2939872,109.0772204,99.51267791,99.51267791,94.40629802,93.4175758,89.92792374,89.92792374,86.91456133,86.91456133,83.98567463,83.98567463,83.5874229,83.5874229,68.5414596,68.5414596,64.15503185,63.37027909,63.16215667,63.16215667,60.08248079,59.77673812,59.77673812,57.33941369,57.33941369,52.12663749,51.70252317,51.70252317,49.33915271,46.66082476,46.66082476,44.31198464,42.87514715,34.42313282,34.42313282,33.70433486,33.44221966,33.03541976,31.87247114,30.99227068,30.99227068,30.54811341,30.54811341,30.54138676,30.44691268,30.44691268,30.35256201,30.35256201,30.23148588,30.23148588,29.54207867,29.54207867,29.51841399,28.55788294,27.72152452,27.71389355,27.31983309,26.72136285,26.23281669,26.23281669,25.90633228,25.43174446,24.8068044,24.59010077,24.25210666,24.25210666,23.77932,23.77932,23.76461948,23.14319726,22.06557703,22.06557703,21.54977887,21.54977887,21.07004792,21.00706066,20.08528036,19.55787226,16.48238892,16.48238892,15.88968681,14.94683922,14.94683922,14.87735233,14.39667839,14.39667839,13.91517837,13.91517837,13.89212271,13.68855698,13.68855698,13.14663223,12.76230925,12.76230925,12.636227,12.39152777,12.39152777,12.22940669,12.06389738,11.86991415,11.86991415,11.73373137,11.73373137,11.7223193,11.7223193,11.38623583,11.38623583,11.2843645,11.2843645,11.23726179,11.23726179,10.96016643,10.96016643,10.91847956,10.91847956,10.86274254,10.84980207,10.84980207,10.76078315,10.76078315,10.71211917,10.71211917,10.67001968,10.67001968,10.63338428,10.44154024,10.44154024,10.31208911,10.31208911,10.27996487,10.27375231,10.27375231,10.21064976,10.21064976,10.14431811,10.04933057,9.927398136,9.927398136,9.922087337,9.881606599,9.881606599,9.766560696,9.752994067,9.752994067,9.741642762,9.741642762,9.444262638,9.444262638,9.310657569,9.310657569,9.241276252,9.194451064,9.168814969,9.168814969,9.135692551,9.134238458,9.134238458,9.132348303,9.009863901,8.917224069,8.917224069,8.892038804,8.7439575,8.642150901,8.574031838,8.574031838,8.551344775,8.551344775,8.517324248,8.38848552,8.38848552,8.38373881,8.376976935,8.376976935,8.241056439,8.241056439,8.149724296,7.951657862,7.816331587,7.816331587,7.774884001,7.680124037,7.680124037,7.67457342,7.67457342,7.613543653,7.588817584,7.588817584,7.567084674,7.549446291,7.549446291,7.415099552,7.415099552,7.32588214
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brawlhalla Spring Championship 2020 NA 2v2 - 4/18/2020 - 7 days ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
