Player,Fiend,Wesley,Power Ranger,Lopes,StarDeath,B A L T A Z Z A R,Emperor,Okami,gabrielwe33,LX,DB,Steve,Yuki,Vecinaa,SSJ | Brollyyy,Rec,Ailzo '-',Klaus,Pajé,Chazar,Sayan,Atsushi,Monexo,Myoto,DRT-V3M_T4NQUIL0,UchihaSasuke,Genjitsu,JuniorMoraes13,V Solotov,DRT-Reaper-_-Black,Ryan,¥ | Zé do Queijo,Danol,104Z,Neeko,NEW SAC,Kyna,Major,nchmrtnz,Cimuh,Thaiph,kaio bolinha,Brook (2),QwerTy,Guga,Joakoooo,wrath,Ender,Shinigami,Steyr,Knoi,bionico,Leite,Dexterrr,vapo do mundo,Luxray,serretti,Vy,Crítico,Legit,ralsei,LendarioPolar,j3king,Metsu,-theking-,LLG_Diniz,Henrī,Lazuli,RenzoCPC,Fanshine,benjaki24,Vooltex,n0oB,Cayden,LorKy,Darkinho,Yassuo,ShiniMidori,Naza,Yukkin.,Gxx,Dynamis96,KnG-_Nauu234,Snaker306,mole420,LCSCEREALKILLER,Bocudo,crow (2),Yukkiteru,Juangana,Azasuh,robsonaf,Death??,fridge,REcolate,Revenger Beast,Yatin,villote,WomboBR,Luffy,Trunkksss,SpotifyTrevoso,Hoiks,Alecs,Capitan Genial,King Juaum,heiomarinho348,Neuz,Hawk,Subaru,Lauta,SteelMel,Zarid,myovin,Juani2004,Atsui,Lain,Jm,P.V player,Etizzes,Rayzigher,sloweed,Guirv,Shishio,SansBrabo,Joaquin1967,Themandiga,Sky (2),ZombieHunter123,Fnthon,Kanai,ThePinguin0,Andrext,HypeZin,GameesFlowers,suntanthequeip,Nocivee q,Mushu,LucassTatto,MATIBL3ND,MAGO,R̶øck,KNJ,Beterraba47,Eike,PParroTT,Agusda,TioJão,BreguiFremi,guiguiplay2,joaopaulo10_7,isculanusflaus,Lutti,MB,Bigoda,Martínfc03,BallOwOn,RaFinhAxhx,Cage,Catto Unreal,UltimateGamer,Dr. Riblack,El Fachipiola,Nocwel,sup3rbi3l,DarkGhostPedro,kelvinsuarez88,NiceGuy,t r i c c,CachuElCrack,Odiltonjr,Ginuwine120,REY_DRAGÓN-24,Guido,jxn3310,Anden,vladicvc,Mdiniz,Demen7z6odz,Noenri,Icczy,chakra,oberom,Mafebra3,fesomago,Tekilavale,kira102,Askellad,Acharned,G4LVEZ,will,LordV17,EdvanJr,viniccius,Caio,hridz2005,TrinityBlack1875,Lucas Netop gostoso
Top 32 made,16,10,9,8,12,8,11,3,7,8,12,7,7,4,7,6,8,3,5,3,7,2,5,7,1,1,1,1,5,1,3,5,1,1,1,5,3,0,1,4,1,3,1,2,3,1,0,3,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Top 8 made,12,8,5,8,12,4,8,1,4,4,7,1,3,1,2,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Top 3 made,11,5,1,3,8,0,5,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Top 2 made,10,3,0,1,4,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Top 1 made,8,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Points,300.5865659,233.5346961,198.1878704,181.7749298,166.9413744,155.968715,118.846753,108.6788948,107.9143505,107.6721407,103.9065207,87.56868824,83.40456007,78.92099183,77.50467744,72.52247541,72.17196825,66.6355683,66.03956722,63.17224639,55.16616727,55.02052725,54.15648824,52.23125614,51.41839733,44.2290101,42.16711095,41.31874617,39.5442322,39.4773801,38.73949953,38.22847275,37.70500937,37.56748359,36.88341735,36.28390633,35.97379625,35.72242225,35.71685281,35.16022202,33.4521676,32.30314094,31.21709313,30.88983605,30.13108812,29.55794743,28.00547343,26.1189583,25.5727751,25.00728755,23.89914358,22.80998677,22.62591365,22.55152592,21.98800311,21.17863481,20.64038973,20.41209813,19.50049842,19.34097159,19.01446774,17.74358976,17.61866715,17.59901814,17.38041913,17.15590091,17.08865326,16.45631715,16.23471816,16.02763413,15.90732584,15.57277334,15.36815411,15.07702598,15.06779755,15.03863362,15.01803046,14.93414444,14.39895567,13.90212012,13.70120956,13.62630818,13.57047178,13.45357435,13.42230518,13.41859076,13.38080918,13.16406532,13.08243739,13.0635551,12.86059891,12.84078065,12.69856427,12.54169057,12.53126391,12.52215781,12.47200717,12.07451127,12.01900386,11.8792785,11.74602257,11.6348845,11.47675165,11.1202442,10.97115386,10.84694957,10.78003341,10.43991177,10.2739865,10.17656869,10.17227495,10.15473818,10.07723543,10.07414095,9.993683449,9.987645845,9.965072541,9.804134767,9.800575545,9.541131455,9.502994562,9.468435351,9.445703337,9.43018655,9.187168371,9.066235295,8.957182636,8.927647836,8.869282354,8.857175926,8.856675936,8.753534354,8.745972258,8.689500852,8.675079505,8.65973976,8.506211839,8.418876659,8.382576642,8.236191437,8.182117266,8.12981023,8.025433073,7.928204895,7.90454782,7.822018984,7.739011278,7.636994756,7.625165229,7.555162047,7.552691134,7.505576473,7.481517132,7.457725786,7.374957375,7.368470806,7.197858147,7.188735872,7.139196718,7.13535755,7.110295682,7.066647144,7.044632618,7.012606594,7.008362311,6.935713035,6.885890575,6.832053823,6.736220323,6.646957768,6.625989778,6.580505943,6.573990142,6.56208942,6.531714025,6.50221935,6.478017226,6.439553498,6.434032245,6.282737601,6.192953653,6.160115056,6.152148966,6.117485034,6.091192333,6.044595131,6.023598157,6.016799134,6.005967045,5.995666261,5.983348997,5.948600539,5.91588766,5.901976206,5.898420868,5.754218095,5.687786464,5.639229618
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
