Player,Legit,DB,Power Ranger,Fiend,Wesley,B A L T A Z Z A R,StarDeath,Steve,Lopes,wrath,QwerTy,t r i c c,Rec,Atsushi,Gxx,Naza,gabrielwe33,Pajé,will,Lazuli,SSJ | Brollyyy,Emperor,104Z,Vecinaa,Ailzo '-',Nipersy,Monexo,kaio bolinha,NEW SAC,Jesper,Chazar,ShiniMidori,Sayan,j3king,DRT-Reaper-_-Black,LX,Okami,Guga,Rayzigher,KnG-_Nauu234,nchmrtnz,Neuz,Ender,VITOR SHANG,JuniorMoraes13,UchihaSasuke,bionico,Bruxo,¥ | Zé do Queijo,Myoto,Flalles,Klaus,Hunter,Thaiph,Oziek,Striker,doritera,Juangana,Shishio,Cimuh,Zaphkiel,Tekvasz,DRT-V3M_T4NQUIL0,Joakoooo,V3M_T4NQUiLO,Dnmm,Monn.,Vy,manodavis,Brook (2),Kiritin,01N,Fox,DNA,Neeko,Hawk,Itachi,SL,Smith,SrKill,Renato429,Themandiga,Alfajorcito,deportador 111,BreguiFremi,KnG-_lauty_-,JxxD,Metsu,zero (2),MaxiS92K,Mr. Topson,RodrigoOlabiaga,Daobiar,sup3rbi3l,procuro um duo,LorKy,Losbitoo,Catto Unreal,Bocudo,serretti,space3588,Dot,Cookie (2),fgabrielnu,Tekilavale,KNJ,JereGamer24,Proof21,Hypnos,Yaksa,El Fachipiola,Guido,Etizzes,LCSCEREALKILLER,Killer,Remedial,zAlyssumL,Josse2585,Aiden,BallOwOn,LVC,Major,Death??,Asaausky,ImRuby,Termi,França,DMN,Kioi,SteelMel,MaTuTeAF,Lucas Clavel,BOO,Leite,Davi,Maxxx,Penanicolasp3,FLaMeR vL,BielSSD,LLG_Diniz,Noenri,SnowSans (2),Easythingsz,zZVitorSilvaZz,Anden,Sipk.,Lampo,Clof,Tote,KnG-_facu,Makoto,Lordeto,Pandory,Caio,ralsei,DOUG,Dexterrr,Kyna,Hyãn,Henrī,RillWayne br,LIL' Darkz,Nisan,JuanDesay1,Joaquin1967,Gux,Mari_011,Icczy,Ren,Erick,smpvini,RaFinhAxhx,Leøayner,Yatin,King Juaum,AngelOfDeath,JackFireDark,emi,Zhakne,Bia,Yushiro :3,MONSE,tomasitochulo,Danol,Veiloko,Derek,Lain,Suarez,Flay,Kbeludox,Starmaster1,Pedroncio (2),Castor,scout,Knight,DDBKross,Piova,ismot,N sou lolicon,Hami,Revenger Beast,rosebr_,P.V player,Luffy,WraFh,Drikzo_,Jisuqlo,Giorno,~ Sanford ~,_20Matar,VenomKillRAER,pão doce,float,crow (2),Pepino,antedeguemon,Positiv,uAmatsuMikaboshi
Top 32 made,2,4,2,8,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,1,1,2,2,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,0,1,1,2,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Top 8 made,2,2,2,4,2,2,3,2,2,2,2,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Top 3 made,2,2,1,4,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Top 2 made,1,1,1,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Top 1 made,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Points,197.0503039,197.0503039,180.6377175,176.2370444,175.2411197,163.8884209,145.8619944,123.5348318,122.1902691,119.4148645,119.4148645,91.39920807,88.8491741,88.74410729,86.66056064,86.66056064,83.43759795,77.5451254,73.37383687,73.37383687,67.57469075,67.57469075,64.71579875,61.40100222,59.39115864,58.53734032,58.06945247,58.06945247,57.66472944,56.6622352,56.65644843,56.65644843,56.38560962,56.14842803,54.95944796,52.79989564,52.79989564,48.4573607,47.52754133,40.5521063,40.5521063,40.32425635,40.32425635,38.41552286,37.09946254,37.04536751,36.31526657,36.19101177,36.19101177,35.91005662,35.22838816,35.22838816,33.90594206,33.73057099,33.3658441,33.3658441,33.24382329,32.3373807,30.66562203,30.66562203,30.45515656,29.91881453,29.85830423,28.81805789,28.50990786,28.1805682,28.1805682,28.03980816,28.03980816,27.93962027,27.93653179,26.88274824,26.67161161,26.20421627,25.94318753,22.7258736,22.7258736,22.67596034,22.66416426,22.66416426,22.56056951,22.56056951,22.51036235,22.51036235,22.38197785,22.03969855,21.95453362,21.95453362,21.88225125,21.88225125,21.86908175,21.79646401,21.79646401,21.68635425,21.68635425,21.28661489,21.18287852,20.24710927,20.05668724,20.05668724,20.04078288,20.04078288,16.3750402,16.01637951,16.01637951,15.44306269,15.32305723,15.31277924,14.29776278,14.29776278,14.12947253,14.12947253,14.12120092,13.96166329,13.96166329,13.5581992,13.5581992,13.15181214,13.15181214,13.12454668,13.12454668,12.97952887,12.97952887,12.79894007,12.79036103,12.79036103,12.64066793,12.64066793,12.62375254,12.57748466,12.57748466,12.32854522,12.21130659,11.9572084,11.94640692,11.94640692,11.62013532,11.42769603,11.42769603,11.19268695,11.1479127,11.1090653,11.1090653,11.07831702,11.07831702,10.5773417,10.5773417,10.5129008,10.5129008,10.41956323,10.3034961,10.18448248,10.18448248,10.1706173,10.1706173,10.08763021,10.08763021,10.06186643,9.990750011,9.990750011,9.988549727,9.988549727,9.838745485,9.838745485,9.67548453,9.67548453,9.632119121,9.632119121,9.46592946,9.46592946,9.240954235,9.240954235,9.237730392,9.219683671,9.219683671,9.192513116,9.192513116,9.093460154,9.093460154,9.043223144,9.043223144,9.023504008,9.023504008,8.984818473,8.984818473,8.968323272,8.968323272,8.893273871,8.893273871,8.883464489,8.883464489,8.813021058,8.813021058,8.695141438,8.695141438,8.343022602,8.343022602,8.341170744,8.341170744,8.129233231,8.129233231,8.103202401,8.103202401,8.092459415,8.092459415,7.954368078,7.954368078,7.875144324,7.875144324,7.866347382,7.825538211,7.791603285,7.791603285,7.779196214,7.596601164,7.58787943,7.58787943,7.315364044
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
