Player,jerryK,Tiger,Josuut,DolaN,reaper,GTG,Sphynx,Ghoul,Vortex,Malovent,Dad,Keizn,Deemo (2),_sire,Chaox,ChesterTank,ian,icomplii.,_Eric,Feitan,KSTime,Sxcion,D0T,ky1e,CuO (2),Senpaiguy,Axscent,Far,Wildfire,Ansh111,Devictus,Skiffee,Titus,Xpectrum,HeyOverHere,Onimaru,Komtin,Spinheddz,D4R,UaeSaqer,a.brougha,Banana,Lunaa,DoubleJ_,Bill,Malachi,Technowaves,nora,Puzzles,RyanC,CTZ,PotatoMan,Mattvictus,Jay,SinchanDC,MR_UNKNOWN_M_E,dooble,colonelsanders,Inertix!?,IT'z Me,P1,xX-Dsigger69-Xx,Diamondz,Eggludus,Shiratsu,Alcyon,AtomicX,Diamond,Dephy,SAEhan,Baby Shaxx Do do do Dooo,son,A Loli Underground,laine4466,LuckyLy,sedimentality,Night Wind,Tokyo,Danna,Chexis,Torped,Nino,STC,6is,yuuuki,Dharma,Manbundudebro,Nobody,Loxley,Duckboi,uae,himwy,Dru,Ber,GrandaddyPerc,Jayxsolo,Water,Myzt,Vega,Realizationzz,Rubik467,Fasthand0128,VincentRanger,Ryusokenn,Neko,ZERØ,N_Neo,. luv game ..,Gawwy,Ablakandebuzubuzu,Knife,r4yz,Harshrajsinh4902,VloveBAD,Truongdinhchi6,mhuy08642,KaoKao,555555,Zylieo,eKaN_,absTRoNommiCaL,midgeynerd,MM_snape,Holox,Zak8,Varxis,Rick Hammerson,Aduby,God_Panda,myth_100,enjaitus,Robby,zoroloong,rip.exe,Vctorius,EzE,Netty Hazuki,Samarth-The Waller,Xnight711,Cai_C22,Mcruz443,_Sirius,Bro122,Hiumanji,SmartKillerNL,Sergiokiller08,XxtimeproxX,razvancostin123,Reddz,LazerSkull,Xyl0w,Firebrawl,Fresh_prince_1k,monsterkill JR,DarckMoon,Onii-Chan~,FoxyTheSoul,Toffee,take that,Ramlal_Ka_Beta,War Machine,Rafz,Devotion,Alloniel,CYCboehme,Oplkmijn,Lil Fengshui,Kameel,GamoZin,SteelingWind728,FateKiller002,Gone,AkiraChamp,ekmachli,EURUS,keshavkess,Color,Alice_L,Ax,higherupanddown
Top 32 made,3,5,2,2,2,2,2,2,2,2,3,2,3,2,3,3,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Top 8 made,3,3,2,2,2,2,2,2,1,1,1,1,1,1,2,2,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Top 3 made,3,3,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Top 2 made,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Top 1 made,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Points,200.1376916,200.1376916,176.5908236,176.5908236,168.0097539,168.0097539,145.6799176,145.6799176,105.2473785,100.6717155,98.94046501,87.24612105,84.51971507,81.3810577,75.06664907,75.06664907,74.18586844,74.18586844,72.266873,71.4305297,71.4305297,71.25266035,68.76220794,64.00746927,64.00746927,62.06077721,62.06077721,61.48005732,60.64296337,60.64296337,58.90946816,54.98173506,51.62081281,51.17819358,51.17819358,49.27085023,49.27085023,49.07100492,49.07100492,45.60923827,45.60923827,44.06993642,40.81833476,40.81833476,40.72508186,39.74627398,39.19745157,39.19165815,38.35662015,38.11148232,37.82262128,36.00403354,34.98059102,34.37066328,32.56131595,32.56131595,30.87233318,30.87233318,30.82994345,29.54207867,29.54207867,29.41772301,29.15539317,29.15539317,28.6664432,28.6664432,28.57919931,28.57919931,28.33665289,28.12334815,27.36435775,27.36435775,27.05390865,26.90443246,26.57148208,26.57148208,25.75103173,25.75103173,24.40827435,24.40827435,24.02455403,24.02455403,23.94822055,23.94822055,22.2030898,22.08762265,22.08762265,22.00797216,22.00797216,21.71309511,21.71309511,21.46863861,20.91429132,20.91429132,19.84243314,19.84243314,17.76286092,17.76286092,15.08927213,15.08927213,14.46554287,14.46554287,13.82537559,13.82537559,13.44811688,13.44811688,13.19742505,13.19742505,13.10302209,13.10302209,12.71925426,12.71925426,12.59857267,12.59857267,12.53860127,12.53860127,12.51197547,12.51197547,12.47175928,12.42424095,12.42424095,12.26395569,12.26395569,12.21174404,12.21174404,12.14354292,11.69199493,11.69199493,11.66907188,11.66907188,11.66897138,11.3562188,11.31186944,11.31186944,11.30428901,11.30428901,10.98153175,10.6334699,10.6334699,10.60456453,10.60456453,10.58272291,10.58272291,10.43534141,10.43534141,10.31117474,10.31117474,10.24858089,10.22391444,10.22391444,10.11220775,10.11220775,9.996938806,9.996938806,9.897352792,9.069462549,9.069462549,9.042753583,9.042753583,9.037094982,9.037094982,8.940222565,8.940222565,8.790237204,8.790237204,8.417760819,8.417760819,8.373009595,8.373009595,8.3563352,8.340584162,8.340584162,8.033697394,8.033697394,7.630534309,7.630534309,7.526676704,7.385643952,7.385643952,7.315809808
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
